label,times_flagged
Hematocrit,99
Hemoglobin,92
Red Blood Cells,88
Glucose,86
Urea Nitrogen,57
"Calcium, Total",52
Chloride,39
RDW,37
PT,31
White Blood Cells,24
INR(PT),22
Phosphate,21
MCH,20
Phenytoin,18
MCHC,17
Creatinine,17
pO2,15
Sodium,15
Potassium,15
Bicarbonate,15
PTT,13
pH,12
Albumin,12
Lymphocytes,11
Neutrophils,10
Troponin T,9
"Osmolality, Measured",9
Magnesium,9
pCO2,8
Vancomycin,8
Valproic Acid,8
Free Calcium,8
Calculated Total CO2,8
Cortisol,7
Ammonia,7
"Potassium, Whole Blood",6
Platelet Count,6
"Phenytoin, Percent Free",6
WBC,5
MCV,5
"Creatine Kinase, MB Isoenzyme",5
CK-MB Index,5
Vitamin B12,4
Thyroxine (T4),4
Thyroid Stimulating Hormone,4
RBC,4
Phenobarbital,4
Triiodothyronine (T3),3
"Thyroxine (T4), Free",3
Monocytes,3
Lipase,3
Lactate,3
Eosinophils,3
Creatine Kinase (CK),3
Bands,3
Transferrin,2
"Reticulocyte Count, Automated",2
Luteinizing Hormone,2
"Iron Binding Capacity, Total",2
Follicle Stimulating Hormone,2
"Chloride, Whole Blood",2
Calculated Thyroxine (T4) Index,2
Anion Gap,2
Triglycerides,1
"Total Protein, CSF",1
"Protein, Total",1
"Phenytoin, Free",1
Metamyelocytes,1
Iron,1
Hyaline Casts,1
Haptoglobin,1
Ferritin,1
Atypical Lymphocytes,1
Asparate Aminotransferase (AST),1
