drug,times_prescribed
Potassium Chloride,55
D5W,37
NS,29
SW,28
Insulin,26
Furosemide,25
0.9% Sodium Chloride,20
Metoprolol Tartrate,19
Metoprolol,19
Morphine Sulfate,18
Magnesium Sulfate,15
Sodium Chloride 0.9%  Flush,14
Iso-Osmotic Dextrose,12
Calcium Gluconate,12
Acetaminophen,12
5% Dextrose,12
Heparin,11
Potassium Phosphate,10
Vancomycin,9
PHENObarbital,9
Lorazepam,9
LeVETiracetam,9
Fosphenytoin,9
PredniSONE,8
Bisacodyl,8
LR,7
Docusate Sodium,7
Vancomycin HCl,6
Soln,6
PENTObarbital Sodium,6
Midazolam,6
HydrALAzine,6
Albuterol 0.083% Neb Soln,6
Scopolamine Patch,5
Propofol,5
Phenytoin Sodium,5
Lisinopril,5
Haloperidol,5
Fentanyl Citrate,5
Levofloxacin,4
HYDROmorphone (Dilaudid),4
Docusate Sodium (Liquid),4
CefePIME,4
Atorvastatin,4
Aspirin,4
Amlodipine,4
0.9% Sodium Chloride (Mini Bag Plus),4
Senna,3
Potassium Chl 20 mEq / 1000 mL NS,3
Pneumococcal Vac Polyvalent,3
Phytonadione,3
Phenytoin,3
Phenylephrine,3
Pantoprazole Sodium,3
Pantoprazole,3
Nystatin-Triamcinolone Cream,3
Metoprolol XL,3
Famotidine,3
Dextrose 5%,3
Ciprofloxacin HCl,3
Chlorhexidine Gluconate 0.12% Oral Rinse,3
Albumin 25% (12.5g / 50mL),3
AcetaZOLamide,3
Zolpidem Tartrate,2
Vial,2
Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,2
Piperacillin-Tazobactam,2
Omeprazole,2
Olanzapine (Disintegrating Tablet),2
NiCARdipine IV,2
Milk of Magnesia,2
Miconazole Powder 2%,2
Metolazone,2
Methimazole,2
Magnesium Oxide,2
Levothyroxine Sodium,2
Lansoprazole,2
Ipratropium Bromide Neb,2
Influenza Virus Vaccine,2
Heparin Sodium,2
Heparin Flush CVL  (100 units/ml),2
D5 1/2NS,2
Clotrimazole Cream,2
Clopidogrel Bisulfate,2
Ceftriaxone,2
Carbidopa-Levodopa (25-250),2
Azithromycin,2
Ampicillin Sodium,2
traZODONE,1
Warfarin,1
Vitamin D,1
Vecuronium Bromide,1
Theophylline (Oral Solution),1
Sulfameth/Trimethoprim DS,1
Sodium Chloride,1
Potassium Chl 20 mEq / 1000 mL D5NS,1
OxycoDONE (Immediate Release) ,1
Ondansetron,1
Olanzapine,1
Nystatin Oral Suspension,1
Ny,1
Norepinephrine,1
Neomycin-Polymyxin-Dexameth Ophth. Oint,1
Methylprednisolone,1
MethylPREDNISolone Sodium Succ,1
MetRONIDAZOLE (FLagyl),1
Lansoprazole Oral Suspension,1
Lansoprazole Oral Disintegrating Tab,1
Lactulose,1
Iso-Osmotic Sodium Chloride,1
Ipratropium Bromide MDI,1
Hydrocortisone Na Succ.,1
Hydrochlorothiazide,1
Heparin Flush (100 units/ml),1
Heparin Flush (10 units/ml),1
Guaifenesin,1
Glycopyrrolate,1
Glucagon,1
Fentanyl Patch,1
Erythromycin 0.5% Ophth Oint,1
Divalproex Sod. Sprinkles,1
Divalproex (EXTended Release),1
DiphenhydrAMINE,1
Diazepam,1
Dextrose 50%,1
Dexamethasone Sod Phosphate,1
D5NS,1
Cosyntropin,1
Citalopram Hydrobromide,1
Ciprofloxacin IV,1
CeftriaXONE,1
Carbamazepine XR,1
Captopril,1
Calcium Carbonate,1
Azithromycin ,1
Atenolol,1
Artificial Tears Preserv. Free,1
Alteplase (Catheter Clearance),1
Acetylcysteine 20%,1
